date,day,weekday,region,cases,hospitalized,severes,deaths
2020-03-22,19,Sunday,Canarias,414,150,32,9
2020-03-22,19,Sunday,Cantabria,282,116,9,5
2020-03-22,19,Sunday,Castilla La Mancha,1819,838,76,112
2020-03-22,19,Sunday,Castilla y León,1744,709,106,74
2020-03-22,19,Sunday,Cataluña,4704,1681,298,191
2020-03-22,19,Sunday,Ceuta,5,0,0,0
2020-03-22,19,Sunday,C. Valenciana,1604,590,113,69
2020-03-22,19,Sunday,Extremadura,384,87,8,14
2020-03-22,19,Sunday,Galicia,915,227,35,12
2020-03-22,19,Sunday,Madrid,9702,8441,834,1021
2020-03-22,19,Sunday,Melilla,25,12,1,0
2020-03-22,19,Sunday,Murcia,296,78,16,1
2020-03-22,19,Sunday,Navarra,794,288,30,14
2020-03-22,19,Sunday,País Vasco,2097,988,81,97
2020-03-22,19,Sunday,La Rioja,654,134,17,18
